Subject,Item,choice,RT,AUC,MD_abv,Condition
M01,1,SWR,1641,110,198,match
M01,2,SWR,1696,168,302.4,match
M01,3,SWR,1472,135,243,match
M01,4,SWR,1592,143,257.4,match
M01,5,SWR,1446,134,241.2,match
M01,6,SWR,1497,164,295.2,match
M01,7,SWR,1798,114,205.2,match
M01,8,SWR,1586,142,255.6,match
M01,9,SWR,1041,128,230.4,match
M01,10,SWR,1631,181,325.8,match
M01,11,DIS,1206,181,325.8,mismathch_Source
M01,12,DIS,1117,127,228.6,mismathch_Source
M01,13,DIS,1242,118,212.4,mismathch_Source
M01,14,DIS,1055,153,275.4,mismathch_Source
M01,15,DIS,1744,161,289.8,mismathch_Source
M01,16,DIS,1140,144,259.2,mismathch_Source
M01,17,DIS,1093,125,225,mismathch_Source
M01,18,DIS,1223,104,187.2,mismathch_Source
M01,19,DIS,1582,170,306,mismathch_Source
M01,20,DIS,1748,160,288,mismathch_Source
M01,21,SWR,1299,181,325.8,mismatch_PC
M01,22,SWR,920,177,318.6,mismatch_PC
M01,23,SWR,1507,151,271.8,mismatch_PC
M01,24,SWR,1088,120,216,mismatch_PC
M01,25,SWR,982,125,225,mismatch_PC
M01,26,SWR,1168,134,241.2,mismatch_PC
M02,1,SWR,1723,102,183.6,match
M02,2,SWR,1079,108,194.4,match
M02,3,SWR,1644,142,255.6,match
M02,4,SWR,916,112,201.6,match
M02,5,SWR,1505,124,223.2,match
M02,6,SWR,960,153,275.4,match
M02,7,SWR,1297,113,203.4,match
M02,8,SWR,1653,140,252,match
M02,9,SWR,1617,115,207,match
M02,10,SWR,1464,186,334.8,match
M02,11,DIS,1720,175,315,mismathch_Source
M02,12,DIS,1692,138,248.4,mismathch_Source
M02,13,DIS,1457,145,261,mismathch_Source
M02,14,DIS,930,178,320.4,mismathch_Source
M02,15,DIS,1595,127,228.6,mismathch_Source
M02,16,DIS,1070,171,307.8,mismathch_Source
M02,17,DIS,1348,126,226.8,mismathch_Source
M02,18,DIS,1106,130,234,mismathch_Source
M02,19,DIS,1378,181,325.8,mismathch_Source
M02,20,DIS,1585,171,307.8,mismathch_Source
